Name,eDR3_id,RA,DEC
IGR J00370+6122,427234969757165952,9.2901,61.3601
1A 0114+650,524924310153249920,19.5112,65.2916
LS I+61 303,465645515129855872,40.1319,61.2293
X Per,168450545792009600,58.8462,31.0458
XTE J0421+560,276644757710014976,64.9256,55.9994
1A 0535+262,3441207615229815040,84.7274,26.3158
IGR J06074+2205,3423526544838563328,91.8609,22.0966
HD 259440,3131822364779745536,98.2469,5.8003
IGR J08408-4503,5522306019626566528,130.1991,-45.0584
Vela X-1,5620657678322625920,135.5286,-40.5547
2FGL J1019.0-5856,5255509901121774976,154.7316,-58.9461
Cen X-3,5337498593446516480,170.3129,-60.6238
1E 1145.1-6141,5334851450481641088,176.8689,-61.9537
GX 301-2, 6054569565614460800,186.6565,-62.7704
PSR B1259-63, 5862299960127967488,195.6985,-63.8357
4U 1538-522, 5886085557746480000,235.5973,-52.386
4U 1700-377, 5976382915813535232,255.9866,-37.8441
IGR J17544-2619,4063908810076415872,268.6053,-26.3313
SAX J1802.7-2017, 4070968778561141760,270.6747,-20.2882
LS5039, 4104196427943626624,276.5628,-14.8484
IGR J18410-0535,4256500538116700160,280.2518,-5.5963
IGR J18450-0435, 4258160560148155648,281.2566,-4.5658
SS 433, 4293406612283985024,287.9565,4.9827
Cyg X-1, 2059383668236814720,299.5903,35.2016
4U 2206+543, 2005653524280214400,331.9843,54.5184
MWC 656, 1982359580155628160,340.7387,44.7217
4U 0115+634, 524677469790488960,,
IGR J01363+6610, 519352324516039680,,
IGR J01583+6713, 518990967445248256,,
EXO 0331+530, 444752973131169664,,
RX J0440.9+4431, 252878401557369088,,
EXO 051910+3737.7, 184497471323752064,,
SAX J0635.2+0533, 3131755947406031104,,
IGR J08262-3736, 5541793213959987968,,
GRO J1008-57,5258414192353423360,,
1A 1118-615,5336957010898124160,,
2E 1145.5-6155,5334823859608495104,,
EXMS B1210-645, 6053076566300433920,,
GX 304-1,5863533199843070208,,
IGR J14331-6112,5878377736381364608,,
1H 1555-552, 5884544931471259136,,
IGR J16195-4945, 5935509395659726592,,
IGR J16465-4507,5943246345430928512,, 
RX J1744.7-2713, 4060784345959549184,,
IGR J17544-2619,4063908810076415872,,
XTE J1855-026,4255891924062617088,,
IGR J20006+3210,2033989790047905024,,
RX J2030.5+4751,2083644392294059520,,
GRO J2058+42, 2065653598916388352,,
SAX J2103.5+4545, 2162805896614571904,,
IGR J21347+4737, 1978365123143522176,,
Cep X-4, 2178178409188167296,,
SAX J2239.3+6116,2005653524280214400,,
AX J1820.5-1434, ,275.1254167,-14.57302778
XTE J1858+034,   ,284.6817917,3.434777778
IGR J10101-5654, ,152.5494583,-56.92558333
IGR J11305-6256, ,172.7789583,-62.94691667
IGR J11435-6109, ,176.001034,-61.1268
IGR J14331-6112, ,218.2847083,-61.26102778
IGR J16207-5129, ,245.1927731,-51.50167968
IGR J16479-4514, ,252.0283333,-45.20161111
IGR J16493-4348, ,252.362308,-43.81918
IGR J17354-3255, ,263.865,-32.93177778
IGR J17586-2129, ,269.644,-21.38931389
SAX J1818.6-1703, ,274.65791,-17.04665774
IGR J18483-0311, ,282.0716858,-3.171367056
KS 1947+300,     ,297.39785,30.20882639
Cyg X-3,         ,308.107422,40.957756
IGR J22534+6243, ,343.4796917,62.72688639
